TICKER,ISIN,COUNTRY_OF_PRIMARY_MARKET,TRADING_COUNTRY,TRADING_CURRENCY,IS_COMPOSITE
ENI,IT0003132476,IT,DE,EUR,N
HMI,FR0000052292,FR,DE,EUR,N
AXA,FR0000120628,FR,DE,EUR,N
STLAm,NL00150001Q9,IT,GB,EUR,N
ALV,DE0008404005,DE,CH,CHF,Y
CSp,FR0000120628,FR,DE,EUR,N
EIp,FR0000121667,FR,NL,EUR,N
MOH,FR0000121014,FR,DE,EUR,N
SAP,DE0007164600,DE,DE,EUR,N
SANp,FR0000120578,FR,GB,EUR,N
FLTRi,IE00BWT6H894,GB,,EUR,N
VWVz,DE0007664039,DE,GB,CHF,N
ESLOF,FR0000121667,FR,US,USD,N
SAP,DE0007164600,DE,DE,EUR,N
BASz,DE000BASF111,DE,,CHF,N
VOW3,DE0007664039,DE,DE,EUR,Y
VNA,DE000A1ML7J1,DE,DE,EUR,N
BVA,ES0113211835,ES,GB,EUR,N
IES,IT0000072618,IT,DE,EUR,N
CSp,FR0000120628,FR,GB,EUR,N
SANp,FR0000120578,FR,,EUR,N
FPB,FR0000120271,FR,BE,EUR,N
ISPm,IT0000072618,IT,GB,EUR,N
VNA,DE000A1ML7J1,DE,DE,EUR,N
VOW3d,DE0007664039,DE,GB,EUR,N
AIRp,NL0000235190,FR,GB,EUR,N
BNPp,FR0000131104,FR,GB,EUR,N
IBEe,ES0144580Y14,ES,GB,EUR,N
1NBA,BE0974293251,BE,DE,EUR,N
INGVF,NL0011821202,NL,US,USD,Y
STLAp,NL00150001Q9,IT,GB,EUR,N
BSD2,ES0113900J37,ES,DE,EUR,N
ASME,NL0010273215,NL,DE,EUR,N
BMWd,DE0005190003,DE,DE,EUR,N
AIRd,NL0000235190,FR,GB,EUR,N
SIA,DE0007236101,DE,BE,EUR,N
SAP,DE0007164600,DE,CH,CHF,Y
ALVd,DE0008404005,DE,GB,EUR,N
PER,FR0000120693,FR,DE,EUR,N
0HAT,FR0000120693,FR,GB,EUR,N
BBVA1,ES0113211835,ES,CH,CHF,Y
8TI,NL00150001Q9,IT,DE,EUR,N
AIR,NL0000235190,FR,DE,EUR,N
ASML,NL0010273215,NL,CH,CHF,Y
DTEd,DE0005557508,DE,GB,EUR,N
DB1,DE0005810055,DE,DE,EUR,N
PPX,FR0000121485,FR,DE,EUR,N
PPRUF,FR0000121485,FR,US,USD,N
BBVA,ES0113211835,ES,ES,EUR,Y
1NBA,BE0974293251,BE,DE,EUR,N
8TI,NL00150001Q9,IT,DE,EUR,N
SAF,FR0000073272,FR,FR,EUR,N
BSN,FR0000120644,FR,DE,EUR,N
AHOG,NL0011794037,NL,DE,EUR,N
SND,FR0000121972,FR,DE,EUR,N
SIE,DE0007236101,DE,DE,EUR,N
BMWd,DE0005190003,DE,GB,EUR,N
AHOG,NL0011794037,NL,DE,EUR,Y
INN1,NL0011821202,NL,DE,EUR,N
DTE,DE0005557508,DE,DE,EUR,N
DPWd,DE0005552004,DE,GB,EUR,N
SQU,FR0000125486,FR,DE,EUR,N
ENIm,IT0003132476,IT,GB,EUR,N
VNA,DE000A1ML7J1,DE,DE,EUR,N
MUV2,DE0008430026,DE,DE,EUR,Y
AIR,NL0000235190,FR,ES,EUR,Y
ITXe,ES0148396007,ES,DE,EUR,N
BBVAe,ES0113211835,ES,DE,EUR,N
SAN,FR0000120578,FR,CH,CHF,N
SIE,DE0007236101,DE,DE,EUR,N
0IIH,FR0000121485,FR,GB,EUR,Y
SAF,FR0000073272,FR,NL,EUR,N
BMW,DE0005190003,DE,DE,EUR,N
SIE,DE0007236101,DE,IT,EUR,N
BBVAe,ES0113211835,ES,GB,EUR,N
ENI,IT0003132476,IT,DE,EUR,N
BNPQF,FR0000131104,FR,US,USD,Y
BAMXF,DE0005190003,DE,US,USD,N
LOR,FR0000120321,FR,DE,EUR,N
VOW3,DE0007664039,DE,DE,EUR,N
0HBC,IT0000072618,IT,GB,EUR,Y
BSD2,ES0113900J37,ES,DE,EUR,Y
SEJ1,FR0000073272,FR,DE,EUR,N
ELp,FR0000121667,FR,GB,EUR,N
AD,NL0011794037,NL,NL,EUR,N
AIL,FR0000120073,FR,DE,EUR,N
DB1d,DE0005810055,DE,GB,EUR,N
CRGi,IE0001827041,GB,GB,EUR,N
TTFNFn,FR0000120271,FR,,USD,N
VOW3,DE0007664039,DE,DE,EUR,N
MUV2,DE0008430026,DE,DE,EUR,N
0QXR,NL00150001Q9,IT,GB,EUR,N
1NBA,BE0974293251,BE,DE,EUR,N
DB1,DE0005810055,DE,DE,EUR,N
DAIMFn,DE000A1ML7J1,DE,,USD,N
AIRe,NL0000235190,FR,GB,EUR,N
BASF,DE000BASF111,DE,HU,HUF,N
MOH,FR0000121014,FR,DE,EUR,N
PER,FR0000120693,FR,DE,EUR,N
IES,IT0000072618,IT,DE,EUR,N
0NWF,FR0000120073,FR,GB,EUR,Y
ENL,IT0003128367,IT,DE,EUR,N
SMAWF,DE0007236101,DE,US,USD,Y
DB1,DE0005810055,DE,DE,EUR,N
STLA,NL00150001Q9,IT,US,USD,N
KC4,FI0009013403,FI,CH,CHF,N
FLTRl,IE00BWT6H894,GB,,GBP,N
VCISF,FR0000125486,FR,US,USD,N
CS,FR0000120628,FR,CH,CHF,Y
ALV,DE0008404005,DE,RO,RON,N
MUV2,DE0008430026,DE,DE,EUR,N
AIp,FR0000120073,FR,GB,EUR,N
DNN,FR0000120644,FR,IT,EUR,N
BMW,DE0005190003,DE,DE,EUR,N
DTE,DE0005557508,DE,IT,EUR,N
AIQUFn,FR0000120073,FR,,USD,N
ESL,FR0000121667,FR,DE,EUR,N
VCISF,FR0000125486,FR,US,USD,Y
DGp,FR0000125486,FR,GB,EUR,N
AIR,NL0000235190,FR,FR,EUR,N
BFFAF,DE000BASF111,DE,US,USD,Y
BAS,DE000BASF111,DE,DE,EUR,N
VOW3d,DE0007664039,DE,DE,EUR,N
SUp,FR0000121972,FR,GB,EUR,N
HESAF,FR0000052292,FR,US,USD,Y
ISPm,IT0000072618,IT,GB,EUR,N
DPSTFn,DE0005552004,DE,,USD,N
BAY,DE000BAY0017,DE,IT,EUR,N
1NBA,BE0974293251,BE,CH,CHF,N
AXAHF,FR0000120628,FR,US,USD,N
SANF,FR0000120578,FR,IT,EUR,N
FLTR,IE00BWT6H894,GB,IE,EUR,N
BSN,FR0000120644,FR,DE,EUR,N
LVMHFn,FR0000121014,FR,,USD,N
AXA,FR0000120628,FR,DE,EUR,Y
ISP,IT0000072618,IT,CH,CHF,N
VNAd,DE000A1ML7J1,DE,GB,EUR,N
ITXe,ES0148396007,ES,,EUR,N
DB1d,DE0005810055,DE,GB,EUR,N
DTE,DE0005557508,DE,IT,EUR,N
BMW,DE0005190003,DE,RO,RON,Y
BAMXF,DE0005190003,DE,US,USD,Y
FLTRi,IE00BWT6H894,GB,GB,EUR,N
PPB,IE00BWT6H894,GB,DE,EUR,N
PHI1,NL0000009538,NL,DE,EUR,N
SAN,ES0113900J37,ES,PL,PLN,N
TOT,FR0000120271,FR,IT,EUR,N
AIL,FR0000120073,FR,DE,EUR,N
IBE1,ES0144580Y14,ES,DE,EUR,N
KERp,FR0000121485,FR,,EUR,N
PPX,FR0000121485,FR,DE,EUR,N
ESOCFn,IT0003128367,IT,,USD,N
DAN,FR0000120644,FR,CH,CHF,N
TOTB,FR0000120271,FR,DE,EUR,N
FP,FR0000120271,FR,CH,CHF,Y
IBEe,ES0144580Y14,ES,GB,EUR,N
DPW,DE0005552004,DE,DE,EUR,N
AIp,FR0000120073,FR,GB,EUR,N
SANw,ES0113900J37,ES,,PLN,N
MBGd,DE0007100000,DE,GB,EUR,N
STLAm,NL00150001Q9,IT,,EUR,N
IFXd,DE0006231004,DE,,EUR,N
MBG,DE0007100000,DE,IT,EUR,N
SIEMENS,DE0007236101,DE,HU,HUF,N
BMW,DE0005190003,DE,DE,EUR,N
TOTB,FR0000120271,FR,DE,EUR,N
DGp,FR0000125486,FR,GB,EUR,N
IFX,DE0006231004,DE,DE,EUR,Y
ALV,DE0008404005,DE,DE,EUR,N
BNPPARIBAS,FR0000131104,FR,HU,HUF,N
8TI,NL00150001Q9,IT,DE,EUR,N
SAFp,FR0000073272,FR,GB,EUR,N
ITXe,ES0148396007,ES,GB,EUR,N
BAYER,DE000BAY0017,DE,HU,HUF,N
BCDRF,ES0113900J37,ES,US,USD,Y
BNCl,ES0113900J37,ES,GB,GBP,N
DB1d,DE0005810055,DE,GB,EUR,N
ELp,FR0000121667,FR,GB,EUR,N
ADSG-U,DE000A1EWWW0,DE,IT,EUR,N
LOR,FR0000120321,FR,DE,EUR,N
IITSF,IT0000072618,IT,US,USD,Y
ALIZFn,DE0008404005,DE,,USD,N
ENEL,IT0003128367,IT,CH,CHF,Y
HMI,FR0000052292,FR,DE,EUR,Y
BAYNd,DE000BAY0017,DE,GB,EUR,N
RIp,FR0000120693,FR,DE,EUR,N
BASz,DE000BASF111,DE,GB,CHF,N
BOY,ES0113211835,ES,DE,EUR,N
IFXd,DE0006231004,DE,GB,EUR,N
INGAa,NL0011821202,NL,GB,EUR,N
INN1,NL0011821202,NL,DE,EUR,N
MBG,DE0007100000,DE,DE,EUR,Y
SANe,ES0113900J37,ES,GB,EUR,N
CSA,FR0000120628,FR,NL,EUR,N
AIL,FR0000120073,FR,DE,EUR,N
BMW,DE0005190003,DE,CH,CHF,N
BOY,ES0113211835,ES,DE,EUR,N
PHGFFn,NL0000009538,NL,,USD,N
8TI,NL00150001Q9,IT,DE,EUR,N
8TI,NL00150001Q9,US,CH,CHF,N
AIRd,NL0000235190,FR,,EUR,N
LRLCFn,FR0000120321,FR,,USD,N
ENELm,IT0003128367,IT,GB,EUR,N
ELp,FR0000121667,FR,,EUR,N
PHIAa,NL0000009538,NL,,EUR,N
BAYN,DE000BAY0017,DE,DE,EUR,N
IFXd,DE0006231004,DE,GB,EUR,N
DAI,DE0007100000,DE,RO,RON,Y
EADSF,NL0000235190,FR,US,USD,Y
SAF,FR0000073272,FR,CH,CHF,Y
MOH,FR0000121014,FR,DE,EUR,Y
AIRP-U,FR0000120073,FR,IT,EUR,N
ENI,IT0003132476,IT,DE,EUR,N
BAS,DE000BASF111,DE,DE,EUR,N
BMW,DE0005190003,DE,DE,EUR,Y
KER,FR0000121485,FR,IT,EUR,N
MURGF,DE0008430026,DE,US,USD,N
ABIT,BE0974293251,BE,CH,CHF,N
SND,FR0000121972,FR,DE,EUR,N
ENELm,IT0003128367,IT,GB,EUR,N
ADS,DE000A1EWWW0,DE,RO,RON,N
IFXd,DE0006231004,DE,DE,EUR,N
DB1d,DE0005810055,DE,DE,EUR,N
SEJ1,FR0000073272,FR,DE,EUR,N
8TI,NL00150001Q9,IT,DE,EUR,N
ALVd,DE0008404005,DE,GB,EUR,N
IFXd,DE0006231004,DE,GB,EUR,N
MCp,FR0000121014,FR,,EUR,N
0HV2,FR0000052292,FR,GB,EUR,Y
IFX,DE0006231004,DE,DE,EUR,N
RIp,FR0000120693,FR,GB,EUR,N
KNYJF,FI0009013403,FI,US,USD,Y
DTEGF,DE0005557508,DE,US,USD,Y
BAS,DE000BASF111,DE,DE,EUR,N
TTEp,FR0000120271,FR,GB,EUR,N
AIRe,NL0000235190,FR,GB,EUR,N
AHOG,NL0011794037,NL,DE,EUR,N
ALV,DE0008404005,DE,RO,RON,Y
ADS,DE000A1EWWW0,DE,CH,CHF,N
ASMLa,NL0010273215,NL,GB,EUR,N
BAYNd,DE000BAY0017,DE,GB,EUR,N
KNYJF,FI0009013403,FI,US,USD,N
BBVAe,ES0113211835,ES,,EUR,N
0KED,DE0006231004,DE,GB,EUR,N
DTE,DE0005557508,DE,DE,EUR,N
ADa,NL0011794037,NL,GB,EUR,N
AIRp,NL0000235190,FR,DE,EUR,N
CRG,IE0001827041,GB,DE,EUR,N
DTEd,DE0005557508,DE,DE,EUR,N
ABIb,BE0974293251,BE,,EUR,N
TTFNF,FR0000120271,FR,US,USD,N
0H3Q,DE0005552004,DE,GB,EUR,N
ASMLa,NL0010273215,NL,,EUR,N
ASMLa,NL0010273215,NL,GB,EUR,N
0NQM,FR0000125486,FR,GB,EUR,Y
ITXe,ES0148396007,ES,GB,EUR,N
BNP,FR0000131104,FR,DE,EUR,N
ADS,DE000A1EWWW0,DE,DE,EUR,N
SANTu,ES0113900J37,ES,GB,EUR,N
SMAWFn,DE0007236101,DE,,USD,N
SAP,DE0007164600,DE,CH,CHF,N
TOTAL,FR0000120271,FR,HU,HUF,N
MBG,DE0007100000,DE,DE,EUR,N
0P6S,DE000BAY0017,DE,GB,EUR,N
SANTA,ES0113900J37,ES,BE,EUR,N
SAPd,DE0007164600,DE,GB,EUR,N
KNEBVh,FI0009013403,FI,DE,EUR,N
AHODF,NL0011794037,NL,US,USD,Y
ASMLa,NL0010273215,NL,GB,EUR,N
PPB,IE00BWT6H894,GB,DE,EUR,N
PHIAa,NL0000009538,NL,GB,EUR,N
DAN-U,FR0000120644,FR,IT,EUR,N
DPWd,DE0005552004,DE,,EUR,N
FP,FR0000120271,FR,CH,CHF,N
ASMLFn,NL0010273215,NL,,USD,N
AIR,NL0000235190,FR,DE,EUR,N
CSp,FR0000120628,FR,GB,EUR,N
BSD2,ES0113900J37,ES,DE,EUR,N
OR,FR0000120321,FR,FR,EUR,N
VLKPFn,DE0007664039,DE,,USD,N
BNPp,FR0000131104,FR,GB,EUR,N
BNp,FR0000120644,FR,NL,EUR,N
SQU,FR0000125486,FR,DE,EUR,N
PPB,IE00BWT6H894,GB,DE,EUR,N
SIE,DE0007236101,DE,CH,CHF,N
AIp,FR0000120073,FR,DE,EUR,N
IES,IT0000072618,IT,DE,EUR,N
AHOG,NL0011794037,NL,DE,EUR,N
SANe,ES0113900J37,ES,GB,EUR,N
MBGd,DE0007100000,DE,DE,EUR,N
DGp,FR0000125486,FR,GB,EUR,N
AIp,FR0000120073,FR,,EUR,N
BBVA,ES0113211835,ES,ES,EUR,N
BNPm,FR0000131104,FR,,EUR,N
VNA,DE000A1ML7J1,DE,CH,CHF,Y
ISPm,IT0000072618,IT,,EUR,N
INFINEON,DE0006231004,DE,HU,HUF,N
IFX,DE0006231004,DE,CH,CHF,Y
ELp,FR0000121667,FR,GB,EUR,N
BNp,FR0000120644,FR,GB,EUR,N
TTFNF,FR0000120271,FR,US,USD,Y
BOY,ES0113211835,ES,DE,EUR,N
DTEL,DE0005557508,DE,BE,EUR,N
ABI,BE0974293251,BE,IT,EUR,N
BAYNd,DE000BAY0017,DE,DE,EUR,N
SAPGF,DE0007164600,DE,US,USD,Y
BBVXF,ES0113211835,ES,US,USD,N
AIRe,NL0000235190,FR,GB,EUR,N
PPX,FR0000121485,FR,DE,EUR,N
0NRE,IT0003128367,IT,GB,EUR,Y
TOTB,FR0000120271,FR,DE,EUR,N
AIL,FR0000120073,FR,DE,EUR,Y
SAN,ES0113900J37,ES,ES,EUR,Y
PPB,IE00BWT6H894,GB,DE,EUR,Y
DB1,DE0005810055,DE,CH,CHF,N
BNPp,FR0000131104,FR,GB,EUR,N
ELp,FR0000121667,FR,GB,EUR,N
VOW3,DE0007664039,DE,DE,EUR,N
SIE,DE0007236101,DE,DE,EUR,N
IFX,DE0006231004,DE,CH,CHF,N
MEURV,DE0008430026,DE,BE,EUR,N
SAP,DE0007164600,DE,DE,EUR,N
HMI,FR0000052292,FR,DE,EUR,N
AHODF,NL0011794037,NL,US,USD,N
ITXe,ES0148396007,ES,GB,EUR,N
0QXR,NL00150001Q9,US,GB,EUR,Y
INN1,NL0011821202,NL,DE,EUR,N
BOY,ES0113211835,ES,CH,CHF,N
BNPm,FR0000131104,FR,GB,EUR,N
CRHCFn,IE0001827041,GB,,USD,N
1NBA,BE0974293251,BE,DE,EUR,N
SAFp,FR0000073272,FR,GB,EUR,N
0P6O,DE0007664039,DE,GB,EUR,Y
DG,FR0000125486,FR,CH,CHF,Y
ENI,IT0003132476,IT,CH,CHF,N
SMAWF,DE0007236101,DE,US,USD,N
ALIZF,DE0008404005,DE,US,USD,Y
BUDFF,BE0974293251,BE,US,USD,N
BBVXF,ES0113211835,ES,US,USD,Y
VLKPF,DE0007664039,DE,US,USD,N
ABI,BE0974293251,BE,BE,EUR,N
ADS,DE000A1EWWW0,DE,RO,RON,Y
STD,ES0113900J37,ES,AR,ARS,N
MBG,DE0007100000,DE,IT,EUR,N
BAYN,DE000BAY0017,DE,DE,EUR,N
CRGi,IE0001827041,GB,,EUR,N
BAYN,DE000BAY0017,DE,CH,CHF,Y
FPA,FR0000120271,FR,NL,EUR,N
MUV2,DE0008430026,DE,DE,EUR,N
MURGF,DE0008430026,DE,US,USD,Y
BASd,DE000BASF111,DE,GB,EUR,N
AIp,FR0000120073,FR,NL,EUR,N
BAYN,DE000BAY0017,DE,DE,EUR,N
BNP,FR0000131104,FR,DE,EUR,N
RYLPF,NL0000009538,NL,US,USD,Y
MBGd,DE0007100000,DE,GB,EUR,N
DANz,FR0000120644,FR,GB,CHF,N
IBEe,ES0144580Y14,ES,GB,EUR,N
SEJ1,FR0000073272,FR,DE,EUR,Y
DPWd,DE0005552004,DE,DE,EUR,N
BMWd,DE0005190003,DE,GB,EUR,N
ENL,IT0003128367,IT,DE,EUR,N
IFX,DE0006231004,DE,DE,EUR,N
ALVd,DE0008404005,DE,,EUR,N
BASz,DE000BASF111,DE,GB,CHF,N
OR,FR0000120321,FR,RO,RON,N
DB1,DE0005810055,DE,DE,EUR,N
MBG,DE0007100000,DE,DE,EUR,N
BAS,DE000BASF111,DE,CH,CHF,Y
IBE,ES0144580Y14,ES,CH,CHF,Y
PHI1,NL0000009538,NL,CH,CHF,N
PDRDFn,FR0000120693,FR,,USD,N
BNP,FR0000131104,FR,DE,EUR,N
DANz,FR0000120644,FR,GB,CHF,N
DB1,DE0005810055,DE,DE,EUR,N
AIR,NL0000235190,FR,ES,EUR,N
ENLd,IT0003128367,IT,GB,EUR,N
AIR,NL0000235190,FR,DE,EUR,N
DBOEF,DE0005810055,DE,US,USD,N
KER,FR0000121485,FR,CH,CHF,Y
IBEe,ES0144580Y14,ES,GB,EUR,N
LRLCF,FR0000120321,FR,US,USD,N
LOR,FR0000120321,FR,DE,EUR,N
CRHl,IE0001827041,GB,DE,GBP,N
CRG,IE0001827041,GB,DE,EUR,N
STDD,ES0113900J37,ES,AR,USD,N
8TI,NL00150001Q9,DE,DE,EUR,Y
SBGSF,FR0000121972,FR,US,USD,Y
VNAd,DE000A1ML7J1,DE,GB,EUR,N
BAS,DE000BASF111,DE,DE,EUR,Y
BMW,DE0005190003,DE,DE,EUR,N
ESOCF,IT0003128367,IT,US,USD,N
ASME,NL0010273215,NL,DE,EUR,N
PHI1,NL0000009538,NL,DE,EUR,N
AIRe,NL0000235190,FR,,EUR,N
AD,NL0011794037,NL,IT,EUR,N
KNEBVh,FI0009013403,FI,SE,EUR,N
KERp,FR0000121485,FR,GB,EUR,N
SNW,FR0000120578,FR,DE,EUR,N
0QFT,DE000A1ML7J1,DE,GB,EUR,Y
MBGd,DE0007100000,DE,,EUR,N
KER,FR0000121485,FR,FR,EUR,N
BMW,DE0005190003,DE,DE,EUR,N
ENIm,IT0003132476,IT,GB,EUR,N
SANT,ES0113900J37,ES,PT,EUR,N
CRHl,IE0001827041,GB,GB,GBP,N
AIL,FR0000120073,FR,DE,EUR,N
FLTRi,IE00BWT6H894,GB,GB,EUR,N
DPWd,DE0005552004,DE,GB,EUR,N
BAS,DE000BASF111,DE,DE,EUR,N
SNW,FR0000120578,FR,DE,EUR,N
SQU,FR0000125486,FR,DE,EUR,N
IXD1,ES0148396007,ES,DE,EUR,N
RMSp,FR0000052292,FR,GB,EUR,N
BAYNd,DE000BAY0017,DE,GB,EUR,N
INN1,NL0011821202,NL,DE,EUR,Y
IBE1,ES0144580Y14,ES,DE,EUR,N
ISPm,IT0000072618,IT,GB,EUR,N
LVMH,FR0000121014,FR,IT,EUR,N
CSp,FR0000120628,FR,GB,EUR,N
DTEd,DE0005557508,DE,GB,EUR,N
RMSp,FR0000052292,FR,GB,EUR,N
0HBC,IT0000072618,IT,GB,EUR,N
IES,IT0000072618,IT,DE,EUR,N
SQU,FR0000125486,FR,DE,EUR,N
ASMLF,NL0010273215,NL,US,USD,N
BAS,DE000BASF111,DE,CH,CHF,N
BNP,FR0000131104,FR,DE,EUR,N
DTEd,DE0005557508,DE,GB,EUR,N
