Date,Open,High,Low,Close,Adj Close,Volume,Return,Signed_Vol,Vol,SMA5_Price,SMA5_Vol,SMA5_Volume,Signal,Trade
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,4494.64990234375,0,,,,,,,0,0.0
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,4546.2001953125,0,0.011469256580333154,0.0,,,,,0,0.0
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,4732.35009765625,0,0.04094626156931791,0.0,,,,,0,0.0
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,4747.5498046875,0,0.0032118728998469237,0.0,,,,,0,0.0
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,4837.5498046875,0,0.018957147097464544,0.0,144.94370887760383,4671.6599609375,,,0,0.0
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,4932.2001953125,0,0.01956577078199495,0.0,143.43405809133313,4759.17001953125,,0.0,0,0.0
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,4938.85009765625,0,0.0013482628604715163,0.0,97.96340052198242,4837.7,,0.0,0,0.0
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,4940.5,0,0.0003340660905122306,0.0,85.4272688816943,4879.32998046875,,0.0,0,0.0
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,5000.5498046875,0,0.012154600685659434,0.0,58.56130149046519,4929.92998046875,106.06594757261578,0.0,0,0.0
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,5021.35009765625,0,0.004159601200102392,0.0,41.18475306211816,4966.6900390625,85.31415640951863,0.0,0,0.0
2007-10-01,5021.5,5089.2998046875,5001.35009765625,5068.9501953125,5068.9501953125,0,0.00947954170303067,0.0,55.48020654595119,4994.0400390625,67.72338610044226,0.0,0,0.0
2007-10-03,5069.0,5261.35009765625,5034.14990234375,5210.7998046875,5210.7998046875,0,0.027984021130484704,0.0,101.80833831767998,5048.42998046875,68.49237365958177,0.0,0,0.0
2007-10-04,5211.64990234375,5233.10009765625,5126.0498046875,5208.64990234375,5208.64990234375,0,-0.000412585864806414,-0.0,101.36619217012462,5102.0599609375,71.68015831726782,-0.0,0,0.0
2007-10-05,5208.14990234375,5248.5498046875,5164.5,5185.85009765625,5185.85009765625,0,-0.004377296442450662,-0.0,87.96257035647173,5139.12001953125,77.56041209046913,-0.0,0,0.0
2007-10-08,5186.25,5249.2998046875,5024.75,5085.10009765625,5085.10009765625,0,-0.019427865847015946,-0.0,69.2553970745357,5151.87001953125,83.17454089295265,-0.0,0,0.0
2007-10-09,5062.64990234375,5348.7001953125,5000.9501953125,5327.25,5327.25,0,0.0476194957215017,0.0,86.20313592938045,5203.52998046875,89.31912676963849,0.0,0,0.0
2007-10-10,5328.14990234375,5454.7001953125,5328.14990234375,5441.4501953125,5441.4501953125,0,0.021436988185743022,0.0,137.511072576237,5249.66005859375,96.4596736213499,0.0,0,0.0
2007-10-11,5438.89990234375,5532.75,5424.25,5524.85009765625,5524.85009765625,0,0.015326778588471646,0.0,180.0613730820041,5312.90009765625,112.19870980372579,0.0,0,0.0
2007-10-12,5525.2998046875,5549.2998046875,5402.60009765625,5428.25,5428.25,0,-0.017484654958734525,-0.0,169.6325051723338,5361.380078125,128.53269676689823,-0.0,0,0.0
2007-10-15,5428.35009765625,5682.64990234375,5419.89990234375,5670.39990234375,5670.39990234375,0,0.04460920229240539,0.0,128.2070582330557,5478.4400390625,140.3230289986022,0.0,0,0.0
2007-10-16,5670.64990234375,5708.35009765625,5578.4501953125,5668.0498046875,5668.0498046875,0,-0.0004144500734910572,-0.0,117.91176049989255,5546.6,146.66475391270464,-0.0,0,0.0
2007-10-17,5658.89990234375,5658.89990234375,5107.2998046875,5559.2998046875,5559.2998046875,0,-0.019186493370270563,-0.0,102.39608218097175,5570.169921875,139.6417558336516,-0.0,0,0.0
